timestamp,country,operating_system,Facebook Messenger,iMessage,WhatsApp,Telegram,Slack,Skype,Snapchat,QQ Mobile,Line,WeChat,Viber,GroupMe,SMS,IRC,Google Talk
2016/08/30 7:37:05 PM AST,United States,Android,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I have it but rarely use it
2016/08/30 7:39:04 PM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it
2016/08/30 7:55:26 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/30 8:21:41 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I use it at least once a week,I don't have it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/30 8:26:11 PM AST,United States,Android,I have it but rarely use it,I don't have it,I use it at least once a week,I don't have it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I use it at least once a week
2016/08/30 8:30:34 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it
2016/08/30 8:42:26 PM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/30 9:51:26 PM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/30 10:24:25 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it
2016/08/30 11:29:08 PM AST,United States,Android,I use it at least once a week,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/31 12:20:44 AM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it
2016/08/31 12:41:35 AM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/31 2:25:40 AM AST,United States,I don't own a smartphone,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I have it but rarely use it
2016/08/31 3:54:26 AM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I use it at least once a week,I don't have it,I use it at least once a week,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/31 9:10:35 AM AST,United States,Android,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it
2016/08/31 9:40:36 AM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it
2016/08/31 9:43:27 AM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I don't have it,I have it but rarely use it
2016/08/31 9:48:34 AM AST,United States,Android,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I use it at least once a week
2016/08/31 11:07:46 AM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it
